id,preco
13518783164498355150900635905895481162,67213.49583651658
299896161723793383246777788797566040330,52409.24961519731
316180649972302128246133616457018378621,216342.09422336126
222527157104148385909188217274642813298,117457.57268381705
160460343059850745858546502614838368036,121942.6623211317
262727202368986244371977784343233436999,58144.09163302686
254093764205800086330999281077926851120,143359.90847288616
26118184613036116787803832945215674478,226742.41161738164
216524630140335566712794225427064313,226876.21838969484
185631381169816366226494379020452029389,215980.75528082057
193325654448132563278364141820152041311,136872.30641833495
238917637717691361625086479663492481749,93272.33145475583
55430829679256880238551444522175018156,92373.23144541461
215317645068876070368783807654911699750,168354.47877161615
81597227204971961501733390453078413740,159553.19085271296
144896666825908872755051834814298387194,90789.0101737038
184599608599423525451999366981389806783,175277.23914599093
332523842755767369964829329030378044388,129148.2301508874
115343777354602647202140618045743635008,179699.82554187355
20757170217235469489036110086071917277,100883.00028640185
185526399598537813925895625787601650168,95716.92568517741
60658042813489826886245400795986219027,92851.14029971897
252469656136469704862465423825396909961,216328.6185161572
144289133420257677937750963126363910239,39837.12862190366
286704706212186527658783613441315754259,103398.40834453815
104788498292328609834480593297039083847,83206.5812160498
83091551517048057678460117003997132666,157212.02700365917
253819240599250454081144283787356606601,72006.63717911723
47552100267769170589122325402191982347,108757.94204045698
143932540867090135955180920741784357244,176030.64301587243
196345985565471044954698780677909306202,225866.03742859408
244792708737468723430839923035345593106,66791.84810439899
84589940414664494482357035061818012137,78349.31503295411
272199586960887794853261858460695880945,178995.7585041233
49959439507026713714422386346459644032,67076.46916049697
281026519311657672970881937258693325762,70429.90567593058
93074564150014753673961081882123830374,247802.86863235003
26728401390792884431172378844166640182,348819.0783950162
188211565885838356078706489204052877949,58212.09247818051
72487946181948797581370306862646034491,106564.43271412727
228864048115975611203958077134700148633,114548.97435268862
112454259487642510247400972640243226784,68280.93232345064
222663295482952330188872827964862490542,61539.31691608752
174300102534868734265445704595501072047,84086.12950814141
65616068149477861830943576277231644996,130154.54166984918
12512429268260634755522419284910697215,230174.1243270013
336344009530167442733355949279054127993,40968.50856436438
79522286518792634854353998912967788405,64334.26806347303
82689802293775881487902613650793199776,116849.75923775171
145087209205382180995284342956932775590,86988.62171077722
148379644220249469735831915363404593938,83781.67329783297
81783415914068556337040372580510327746,84207.46514379891
17392005129747944984443660408573750669,76483.6643445983
221003909581330971303914733428302885356,162179.8447309968
32270994133870633595828638411924379558,140493.84677606335
44743423162474884539743903954385097896,131608.38172838485
256739781367016694034266877805520625472,247229.7944682785
102069821313289958956134954896763391138,151081.31752468483
295239204594155572903470420706758961711,91111.67150103877
217043924033496343963491521400562422856,104320.63940969776
230630223901851276472648163541398202700,86458.67912129092
228794583325189840821498523768389390979,70728.0882324886
226883211751919793077312253417502568887,122803.26326474981
178727794896076301413017290746899811351,64321.617014966185
233324434070255280697734700180958891999,160283.11177825657
120196782885257163651164953359063822616,57539.842631516425
307587965035124177469706843302286678852,40984.49551363312
147918433942232310306879997092064646229,61188.228385400485
